subject,session,Condition,ACC,RT,stimtype
7,Pre,Control,,0,null
7,Pre,Control,0,641,inc
7,Pre,Control,1,804,neu
7,Pre,Control,1,760,con
7,Pre,Control,,0,null
7,Pre,Control,1,626,con
7,Pre,Control,1,811,neu
7,Pre,Control,0,1743,inc
7,Pre,Control,,0,null
7,Pre,Control,1,566,con
7,Pre,Control,,0,null
7,Pre,Control,1,823,con
7,Pre,Control,1,672,con
7,Pre,Control,,0,null
7,Pre,Control,1,563,con
7,Pre,Control,1,1351,neu
7,Pre,Control,1,783,neu
7,Pre,Control,0,680,inc
7,Pre,Control,,0,null
7,Pre,Control,1,604,neu
7,Pre,Control,,0,null
7,Post,Control,1,1064,neu
7,Post,Control,0,1179,inc
7,Post,Control,1,460,con
7,Post,Control,0,0,inc
7,Post,Control,1,798,inc
7,Post,Control,,0,null
7,Post,Control,1,777,neu
7,Post,Control,1,662,con
7,Post,Control,1,713,con
7,Post,Control,1,785,neu
7,Post,Control,1,557,con
7,Post,Control,0,1437,inc
7,Post,Control,1,855,neu
7,Post,Control,,0,null
7,Post,Control,1,576,con
7,Post,Control,1,569,neu
7,Post,Control,,0,null
7,Post,Control,1,822,neu
7,Post,Control,0,890,inc
7,Post,Control,1,713,neu
7,Post,Control,1,739,con
7,Post,Control,1,622,con
7,Post,Control,1,700,inc
7,Post,Control,1,748,con
7,Post,Control,,0,null
7,Post,Control,1,711,neu
7,Post,Control,,0,null
7,Post,Control,1,646,neu
7,Post,Control,,0,null
7,Post,Control,1,793,inc
7,Post,Control,1,624,neu
7,Post,Control,1,812,inc
7,Post,Control,1,515,con
7,Post,Control,1,518,neu
7,Post,Control,1,714,inc
7,Post,Control,,0,null
7,Post,Control,0,430,inc
7,Post,Control,1,888,inc
7,Post,Control,1,867,inc
7,Post,Control,,0,null
7,Post,Control,1,722,inc
7,Post,Control,1,818,inc
7,Post,Control,1,1105,con
7,Post,Control,,0,null
7,Post,Control,1,763,neu
7,Post,Control,,0,null
7,Post,Control,1,766,con
7,Post,Control,,0,null
7,Post,Control,0,1052,inc
7,Post,Control,,0,null
7,Post,Control,1,853,neu
7,Post,Control,1,686,neu
7,Post,Control,1,552,neu
7,Post,Control,1,628,neu
7,Post,Control,1,749,neu
7,Post,Control,0,0,inc
7,Post,Control,0,0,inc
7,Post,Control,1,801,inc
7,Post,Control,1,751,inc
7,Post,Control,1,647,neu
7,Post,Control,1,684,con
7,Post,Control,1,678,neu
7,Post,Control,1,608,con
7,Post,Control,,0,null
7,Post,Control,1,790,inc
7,Post,Control,1,716,con
7,Post,Control,,0,null
7,Post,Control,1,615,neu
7,Post,Control,1,659,neu
7,Post,Control,,0,null
7,Post,Control,1,608,con
7,Post,Control,1,648,con
7,Post,Control,1,867,inc
7,Post,Control,,0,null
7,Post,Control,1,856,inc
7,Post,Control,1,671,con
7,Post,Control,,0,null
7,Post,Control,1,917,inc
7,Post,Control,,0,null
7,Post,Control,1,743,con
7,Post,Control,1,727,con
7,Post,Control,1,636,con
7,Post,Control,1,618,neu
7,Post,Control,,0,null
7,Post,Control,1,1423,inc
7,Post,Control,1,754,neu
7,Post,Control,1,621,neu
